from,to,km
Veberöd,Malmö,20
Helsingborg,Malmö,65
Helsingborg,Göteborg,230
Göteborg,Malmö,280
Göteborg,Jönköping,160
Göteborg,Borås,65
Göteborg,Karlstad,265
Borås,Jönköping,100
Borås,Trollhättan,80
Trollhättan,Karlstad,160
Malmö,Jönköping,190
Malmö,Växjö,190
Malmö,Linköping,270
Jönköping,Linköping,120
Jönköping,Växjö,130
Jönköping,Skövde,75
Jönköping,Stockholm,320
Växjö,Kalmar,110
Kalmar,Linköping,200
Kalmar,Norrköping,170
Linköping,Norrköping,45
Linköping,Stockholm,200
Norrköping,Stockholm,165
Skövde,Örebro,110
Karlstad,Örebro,130
Stockholm,Örebro,200
Stockholm,Uppsala,70
Stockholm,Västerås,100
Stockholm,Gävle,180
Stockholm,Sundsvall,390
Uppsala,Gävle,100
Västerås,Örebro,100
Örebro,Gävle,250
Örebro,Falun,200
Gävle,Falun,50
Gävle,Sundsvall,230
Falun,Östersund,340
Sundsvall,Härnösand,45
Sundsvall,Umeå,250
Sundsvall,Östersund,300
Umeå,Luleå,270
Umeå,Östersund,350
Varberg,Göteborg,75
Varberg,Helsingborg,110
Eskilstuna,Västerås,40
Eskilstuna,Stockholm,110
